
                                  SUMMARY OF ENERGY TRANSFER AT THE SURFACE


                               SOLAR RADIATION                         LONG-WAVE RADIATION
               ------------------------------------------    -----------------------------------------
 DAY HR  YR    CANOPY     SNOW   RESIDUE    SOIL   TOTAL     CANOPY    SNOW   RESIDUE    SOIL    TOTAL  SENSIBLE  LATENT
                KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2    KJ/M2   KJ/M2
 343 21   86       0.       0.       0.       0.       0.       0.       0.       0.     -40.     -40.       3.     -76.
 343 22   86       0.       0.       0.       0.       0.       0.       0.       0.     -32.     -32.       5.     -94.
 343 23   86       0.       0.       0.       0.       0.       0.       0.       0.     -42.     -42.       5.    -270.
 343 24   86       0.       0.       0.       0.       0.       0.       0.       0.     -34.     -34.       3.     -54.
 344  1   86       0.       0.       0.       0.       0.       0.       0.       0.     -77.     -77.       0.    -103.
 344  2   86       0.       0.       0.       0.       0.       0.       0.       0.     -71.     -71.       1.     -61.
 344  3   86       0.       0.       0.       0.       0.       0.       0.       0.     -67.     -67.       2.     -31.
 344  4   86       0.       0.       0.       0.       0.       0.       0.       0.     -63.     -63.       3.     -43.
 344  5   86       0.       0.       0.       0.       0.       0.       0.       0.     -60.     -60.       4.     -49.
 344  6   86       0.       0.       0.       0.       0.       0.       0.       0.     -56.     -56.       4.     -59.
 344  7   86       0.       0.       0.       0.       0.       0.       0.       0.      -9.      -9.     107.    -343.
 344  8   86       0.       0.       0.      35.      35.       0.       0.       0.      56.      56.     207.     -89.
 344  9   86       0.       0.       0.     334.     334.       0.       0.       0.      69.      69.     155.    -188.
 344 10   86       0.       0.       0.     698.     698.       0.       0.       0.      73.      73.     204.    -188.
 344 11   86       0.       0.       0.     931.     931.       0.       0.       0.      71.      71.     177.    -329.
 344 12   86       0.       0.       0.    1062.    1062.       0.       0.       0.      63.      63.     234.     -92.
 344 13   86       0.       0.       0.    1016.    1016.       0.       0.       0.      35.      35.     194.    -443.
 344 14   86       0.       0.       0.     831.     831.       0.       0.       0.      20.      20.     145.    -364.
 344 15   86       0.       0.       0.     533.     533.       0.       0.       0.      38.      38.     131.    -424.
 344 16   86       0.       0.       0.     156.     156.       0.       0.       0.      40.      40.      63.     -67.
 344 17   86       0.       0.       0.       5.       5.       0.       0.       0.     -44.     -44.       6.     -53.
 344 18   86       0.       0.       0.       0.       0.       0.       0.       0.     -31.     -31.      16.    -183.
 344 19   86       0.       0.       0.       0.       0.       0.       0.       0.     -63.     -63.       2.     -50.
 344 20   86       0.       0.       0.       0.       0.       0.       0.       0.     -74.     -74.       0.    -133.
 344 21   86       0.       0.       0.       0.       0.       0.       0.       0.     -82.     -82.      -4.    -215.
 344 22   86       0.       0.       0.       0.       0.       0.       0.       0.     -71.     -71.       1.     -95.
 344 23   86       0.       0.       0.       0.       0.       0.       0.       0.     -82.     -82.      -3.    -161.
 344 24   86       0.       0.       0.       0.       0.       0.       0.       0.     -73.     -73.       1.    -113.
 345  1   86       0.       0.       0.       0.       0.       0.       0.       0.     -58.     -58.      -6.    -138.
 345  2   86       0.       0.       0.       0.       0.       0.       0.       0.     -51.     -51.      -1.    -160.
 345  3   86       0.       0.       0.       0.       0.       0.       0.       0.     -46.     -46.       1.     -63.
 345  4   86       0.       0.       0.       0.       0.       0.       0.       0.     -43.     -43.       1.     -49.
